W,q,Q,cth,t,ds,stat,syst+,syst-,obs,unit,experiment
2.813786E+00,1.250457E+00,1.010111E+00,1.100412E+00,2.300000E-01,4.800000E-01,1.700000E-01,1.920000E-02,1.920000E-02,ds/dt,mb/GeV2,desy094
2.975847E+00,1.340007E+00,1.120182E+00,1.082552E+00,2.300000E-01,5.200000E-01,1.600000E-01,2.080000E-02,2.080000E-02,ds/dt,mb/GeV2,desy094
3.144482E+00,1.432257E+00,1.229943E+00,1.069148E+00,2.300000E-01,5.900000E-01,1.700000E-01,2.360000E-02,2.360000E-02,ds/dt,mb/GeV2,desy094
3.304522E+00,1.519056E+00,1.330685E+00,1.059552E+00,2.300000E-01,4.500000E-01,1.600000E-01,1.800000E-02,1.800000E-02,ds/dt,mb/GeV2,desy094
3.457161E+00,1.601257E+00,1.424324E+00,1.052333E+00,2.300000E-01,5.300000E-01,1.400000E-01,2.120000E-02,2.120000E-02,ds/dt,mb/GeV2,desy094
3.603341E+00,1.679512E+00,1.512177E+00,1.046699E+00,2.300000E-01,8.100000E-01,1.600000E-01,3.240000E-02,3.240000E-02,ds/dt,mb/GeV2,desy094
2.641803E+00,1.154281E+00,8.864897E-01,1.138294E+00,2.500000E-01,2.000000E-01,2.000000E-01,8.000000E-03,8.000000E-03,ds/dt,mb/GeV2,desy094
2.813786E+00,1.250457E+00,1.010111E+00,1.108329E+00,2.500000E-01,4.500000E-01,2.000000E-01,1.800000E-02,1.800000E-02,ds/dt,mb/GeV2,desy094
2.975847E+00,1.340007E+00,1.120182E+00,1.089214E+00,2.500000E-01,3.800000E-01,1.400000E-01,1.520000E-02,1.520000E-02,ds/dt,mb/GeV2,desy094
3.144482E+00,1.432257E+00,1.229943E+00,1.074825E+00,2.500000E-01,2.100000E-01,1.100000E-01,8.400000E-03,8.400000E-03,ds/dt,mb/GeV2,desy094
3.304522E+00,1.519056E+00,1.330685E+00,1.064499E+00,2.500000E-01,2.400000E-01,1.400000E-01,9.600000E-03,9.600000E-03,ds/dt,mb/GeV2,desy094
3.457161E+00,1.601257E+00,1.424324E+00,1.056718E+00,2.500000E-01,4.000000E-01,1.400000E-01,1.600000E-02,1.600000E-02,ds/dt,mb/GeV2,desy094
3.603341E+00,1.679512E+00,1.512177E+00,1.050636E+00,2.500000E-01,6.500000E-01,1.600000E-01,2.600000E-02,2.600000E-02,ds/dt,mb/GeV2,desy094
2.813786E+00,1.250457E+00,1.010111E+00,1.116246E+00,2.700000E-01,4.400000E-01,3.200000E-01,1.760000E-02,1.760000E-02,ds/dt,mb/GeV2,desy094
2.975847E+00,1.340007E+00,1.120182E+00,1.095876E+00,2.700000E-01,4.400000E-01,1.600000E-01,1.760000E-02,1.760000E-02,ds/dt,mb/GeV2,desy094
3.144482E+00,1.432257E+00,1.229943E+00,1.080501E+00,2.700000E-01,3.600000E-01,1.600000E-01,1.440000E-02,1.440000E-02,ds/dt,mb/GeV2,desy094
3.304522E+00,1.519056E+00,1.330685E+00,1.069446E+00,2.700000E-01,1.700000E-01,1.800000E-01,6.800000E-03,6.800000E-03,ds/dt,mb/GeV2,desy094
3.457161E+00,1.601257E+00,1.424324E+00,1.061102E+00,2.700000E-01,6.600000E-01,2.000000E-01,2.640000E-02,2.640000E-02,ds/dt,mb/GeV2,desy094
3.603341E+00,1.679512E+00,1.512177E+00,1.054574E+00,2.700000E-01,2.700000E-01,1.000000E-01,1.080000E-02,1.080000E-02,ds/dt,mb/GeV2,desy094
2.975847E+00,1.340007E+00,1.120182E+00,1.102538E+00,2.900000E-01,3.300000E-01,2.000000E-01,1.320000E-02,1.320000E-02,ds/dt,mb/GeV2,desy094
3.144482E+00,1.432257E+00,1.229943E+00,1.086178E+00,2.900000E-01,4.900000E-01,2.100000E-01,1.960000E-02,1.960000E-02,ds/dt,mb/GeV2,desy094
3.304522E+00,1.519056E+00,1.330685E+00,1.074393E+00,2.900000E-01,2.600000E-01,2.600000E-01,1.040000E-02,1.040000E-02,ds/dt,mb/GeV2,desy094
