CLAS physics database search results
Measurement E63M2

Curtis A. Meyer
0

W	cos(theta)	dsigma/dcos(theta)	Data errors
GeV	dimensionless	mcb	mcb
2.275	-0.3	0.0467	0.0055
2.275	-0.2	0.041	0.0048
2.275	-0.1	0.0464	0.005
2.275	0	0.0518	0.005
2.275	0.1	0.0591	0.0049
2.275	0.2	0.072	0.0053
2.275	0.3	0.111	0.0068
2.285	0.37	0.1239	0.01
2.285	0.42	0.1386	0.0106
2.285	0.47	0.1755	0.0125
2.285	0.53	0.1852	0.014
2.285	0.57	0.251	0.0185
2.285	0.62	0.2863	0.0217
2.285	0.67	0.3363	0.0252
2.285	0.72	0.3448	0.0255
2.285	0.78	0.4747	0.0339
2.285	0.82	0.5036	0.0369
2.285	0.88	0.6644	0.0512
2.285	0.92	0.6534	0.1082
2.285	-0.8	0.044	0.0091
2.285	-0.7	0.0448	0.0066
2.285	-0.6	0.0517	0.0065
2.285	-0.5	0.0459	0.0058
2.285	-0.4	0.058	0.0061
2.285	-0.3	0.0491	0.005
2.285	-0.2	0.0366	0.0041
2.285	-0.1	0.037	0.0041
2.285	0	0.0452	0.0043
2.285	0.1	0.0557	0.0045
2.285	0.2	0.0711	0.0052
2.285	0.3	0.0997	0.0061
2.295	0.37	0.1295	0.0105
2.295	0.42	0.1477	0.0119
2.295	0.47	0.1818	0.0137
2.295	0.53	0.1928	0.0143
2.295	0.57	0.2126	0.0167
2.295	0.62	0.305	0.0233
2.295	0.67	0.3534	0.0262
2.295	0.72	0.3963	0.0273
2.295	0.78	0.4671	0.033
2.295	0.82	0.54	0.037
2.295	0.88	0.7241	0.0496
2.295	0.92	0.5709	0.0829
2.295	-0.79	0.0205	0.0063
2.295	-0.7	0.048	0.0074
2.295	-0.6	0.0409	0.0058
2.295	-0.5	0.0433	0.0058
2.295	-0.4	0.0362	0.0049
2.295	-0.3	0.0411	0.0048
2.295	-0.2	0.0459	0.0049
2.295	-0.1	0.0394	0.0042
2.295	0	0.0461	0.0047
2.295	0.1	0.0573	0.0046
2.295	0.2	0.0721	0.0053
2.295	0.3	0.1105	0.0067
2.305	0.37	0.1224	0.0097
2.305	0.42	0.1416	0.0111
2.305	0.47	0.1536	0.0123
2.305	0.53	0.195	0.0144
2.305	0.57	0.2388	0.0178
2.305	0.62	0.2564	0.02
2.305	0.67	0.3109	0.0229
2.305	0.72	0.4125	0.0279
2.305	0.78	0.5571	0.0369
2.305	0.82	0.5565	0.0366
